driverId,week,hours-logged,miles-logged
428,19,63,500
468,27,62,3400
129,48,80,3900
192,42,51,3100
807,8,67,3300
867,24,59,2300
433,2,56,2200
845,41,71,200
537,51,75,1700
831,25,51,100
930,18,72,900
529,27,54,3000
519,42,68,700
228,29,56,2200
760,48,59,4000
394,27,69,3600
32,36,58,2600
107,48,50,0
740,44,56,3100
873,42,61,1700
600,23,51,1500
105,6,79,2900
496,15,64,1800
377,45,64,100
127,42,80,3700
937,19,62,1900
466,40,54,1500
674,6,57,3200
635,37,63,1200
361,4,51,400
851,28,70,3800
71,10,59,2400
311,39,55,2100
1005,30,52,2400
998,34,70,2200
95,26,71,1400
496,17,77,2700
527,40,56,3000
85,17,76,3300
28,23,66,900
860,21,62,3200
47,44,77,1900
12,48,77,2100
338,47,79,2400
21,45,52,1000
436,28,60,2900
752,39,50,1300
627,32,57,1700
908,2,79,300
418,6,70,1400
726,15,73,1300
845,11,56,3800
407,42,69,4000
763,22,56,700
332,29,62,2000
102,52,68,3400
391,12,58,3900
542,34,80,900
496,19,71,1200
657,46,72,2600
722,1,51,2400
630,10,56,2600
862,36,74,2400
642,46,54,2900
608,2,66,3100
196,14,72,0
765,37,68,2400
467,5,76,3400
309,49,77,2400
734,49,64,1300
336,10,60,1300
747,8,59,1000
651,43,65,1000
614,35,56,3800
446,45,80,300
798,2,74,3600
892,43,61,2300
699,49,64,2000
860,15,58,1900
964,27,79,4000
779,23,65,600
450,3,63,2600
257,20,57,300
236,14,56,4000
620,7,71,1000
455,20,64,2500
231,5,52,1700
621,25,54,2000
851,28,75,500
661,18,61,1100
867,34,60,3100
710,13,64,1400
450,15,62,3000
617,9,58,700
645,39,72,2600
439,13,73,2300
396,22,62,2300
236,8,76,2400
635,44,52,3500
343,5,69,3900
263,31,52,1000
433,37,66,3300
375,15,67,2500
493,44,63,500
947,15,79,2200
622,42,53,400
198,25,72,3400
851,13,57,3300
251,22,52,3100
475,50,76,2700
65,3,61,2600
185,35,74,700
85,44,78,400
882,27,78,3700
425,52,75,2900
797,43,69,2300
503,38,66,1900
764,12,70,600
699,23,66,2400
148,7,50,2500
606,25,53,2400
36,35,75,3800
444,38,66,1000
491,4,63,400
942,14,56,1800
578,14,57,1900
302,36,79,2400
496,16,64,700
577,50,58,2000
276,20,57,2600
514,25,60,800
905,16,75,2900
648,27,73,2100
214,22,52,600
361,18,63,3000
476,29,50,300
472,32,61,900
777,40,62,1400
514,24,62,3800
766,35,50,500
841,35,64,1700
486,52,73,2500
841,40,80,300
523,25,76,2100
632,50,77,800
755,50,52,3500
755,46,61,1500
800,22,63,2300
345,7,65,3400
319,3,78,800
80,44,53,900
880,48,58,3100
230,47,53,3800
108,12,66,700
942,49,52,1200
685,35,71,3900
767,25,73,1900
474,22,51,1900
970,23,79,1700
200,23,61,600
730,46,61,3700
959,25,75,2900
606,9,70,800
818,7,53,2100
912,44,52,1600
817,51,57,0
547,2,55,1900
989,51,80,3800
199,35,57,3400
388,25,77,2900
958,43,73,2400
216,32,64,1500
419,51,73,3500
497,22,57,0
491,34,62,3200
79,12,50,4000
592,40,51,2900
310,33,76,1300
20,45,62,1700
56,46,67,2000
482,26,60,3300
204,22,67,3400
368,30,60,800
795,30,57,1700
977,16,52,1600
338,49,60,1800
512,25,78,2200
307,5,72,2000
82,25,68,1800
548,40,50,1600
887,40,53,0
848,12,77,2500
816,46,59,2600
934,28,58,1500
674,34,70,300
598,41,77,3100
224,8,68,500
566,16,67,2200
680,48,75,3300
34,5,54,2300
210,36,62,1200
